term,weeb_freq,non_weeb_freq,specificity,similarity,combined_score
comfort,0.0009245485020484965,0.00030839362187075797,1.0979283362340888,0.0,0.7685498353638621
gallery,0.0002542548114508093,8.49956123541756e-05,1.0957365398234244,0.0,0.7670155778763971
drawn,0.0008204480436335512,0.00027465019491128365,1.0943520740394197,0.0,0.7660464518275938
ll,0.00026360708790961233,8.846957749014591e-05,1.09180020442868,0.0,0.7642601431000761
rp,0.00031970561489318264,0.0001073142029457631,1.0916389922968466,0.0,0.7641472946077925
jump,0.00059724790274226,0.00020109482275867266,1.0885553929966942,0.0,0.7619887750976859
skip,0.000596548108066786,0.0002010880425013018,1.0874167246456385,0.0,0.761191707251947
creator,0.0006113514222076121,0.000206526544251189,1.085242684570449,0.0,0.7596698791993143
streaming,0.0009520013846741639,0.0003222811416739,1.08314200864038,0.0,0.758199406048266
star,0.0019609950399996456,0.00066473575582288,1.0818175954072644,0.0,0.757272316785085
macy thanksgiving,0.00027288756708271654,9.257729041800726e-05,1.0810152867311842,0.0,0.7567107007118289
peak,0.0012164538718547626,0.0004128539164634058,1.0806012655299142,0.0,0.7564208858709399
boys,0.0011343035436670317,0.0003855836204387895,1.0790158687542106,0.0,0.7553111081279474
db,0.0002252357413862051,7.718696458152993e-05,1.0709161514245191,0.0,0.7496413059971634
hearts,0.0004918989887636312,0.0001689651678547781,1.0685804131669794,0.0,0.7480062892168855
seven,0.0004390730771773098,0.00015111290999815814,1.0666381223135348,0.0,0.7466466856194743
2000,0.00026890295602633986,9.279131377018206e-05,1.063996816644496,0.0,0.7447977716511471
anyways,0.0005694596179162548,0.00019654932723052877,1.063774110269519,0.0,0.7446418771886633
wise,0.00045255722487817074,0.000156534210572796,1.0616392170915854,0.0,0.7431474519641097
etsy,0.00048721220011603377,0.00016861573226008698,1.0610770171905781,0.0,0.7427539120334047
posters,0.00023357202650841347,8.087781157045723e-05,1.060550169336756,0.0,0.7423851185357292
animal,0.000992693569093312,0.00034384774573851975,1.0602228754868668,0.0,0.7421560128408067
fun fact,0.00027650310100677715,9.596550740395069e-05,1.0582325267035122,0.0,0.7407627686924585
trend,0.00037569584973074323,0.00013042327254209123,1.057994301210125,0.0,0.7405960108470874
